"Source_Key__c","Name","Work_Experience_Source_Key","Description__c","Display_Order__c","Include_In_CV__c","Tech_Stack__c"
"work/accenture-ase/project/telecom-company","Telecom Company","work/accenture-ase",,,"True","Apex, Visualforce, JIRA"
"work/accenture-ase/project/vaccine-management-company","Vaccine Management Company","work/accenture-ase",,"1","True","Apex, Flows, Copado"
"work/accenture-se/project/manufacturing-company","Manufacturing Company","work/accenture-se",,"1","True","Einstein Bots, Lightning Web Components, Apex"
"work/accenture-se/project/financial-institution-company","Financial Institution Company","work/accenture-se",,"2","True","Apex, Triggers, Flows, Approval Process, Validation Rules, Azure"
"work/accenture-se/project/vaccine-management-company","Vaccine Management Company","work/accenture-se",,"3","True","Apex, Flows, Copado, Aura"
"work/cloudstaff/project/educational-institution","Educational Institution","work/cloudstaff",,,"True","Apex, Triggers, Flows, Visualforce, Lightning Web Components, Aura, Experience Cloud"
"work/eei-corporation/project/internship","Internship","work/eei-corporation",,,"True","HTML, CSS, Bootstrap, Javascript"
"work/kulturra/project/payment-processing-managed-package","Payment Processing Managed Package","work/kulturra",,"1","False","Apex, Trigger, Visualforce, REST API, Aura, Flow, Asynchronous Apex"
"work/kulturra/project/agentforce-managed-package","Agentforce Managed Package","work/kulturra",,"2","True","Agentforce, Apex, Experience Cloud"
"work/kulturra/project/hvac-services-company","HVAC Services Company","work/kulturra",,"3","False","Apex, Asynchronous Apex, Flows, Field Service"
"work/kulturra/project/jewelry-buyer-and-lender-company","Jewelry Buyer and Lender Company","work/kulturra",,"4","False","Flow"
"work/kulturra/project/law-firm-company","Law Firm Company","work/kulturra",,"5","False","Apex, Asynchronous Apex, Triggers, Flow"
"work/quantrics/project/automotive-company","Automotive Company","work/quantrics",,,"True","Apex, Lightning Web Component, Triggers, Visualforce, Process Builder, Salesforce CPQ"
