"Source_Key__c","Name","Portfolio_Source_Key","Parent_Skill_Source_Key","Priority__c","Is_Full_Width__c"
"skill/back-end","Back-End","portfolio/john-carlo-red",,"2","False"
"skill/back-end/c","C","portfolio/john-carlo-red","skill/back-end",,"False"
"skill/back-end/c-plus-plus","C++","portfolio/john-carlo-red","skill/back-end",,"False"
"skill/back-end/c-sharp","C#","portfolio/john-carlo-red","skill/back-end",,"False"
"skill/back-end/java","Java","portfolio/john-carlo-red","skill/back-end","1","False"
"skill/back-end/php","PHP","portfolio/john-carlo-red","skill/back-end","2","False"
"skill/crm","CRM","portfolio/john-carlo-red",,"1","True"
"skill/crm/gohighlevel","GoHighLevel","portfolio/john-carlo-red","skill/crm",,"False"
"skill/crm/gohighlevel/workflow-automation","Workflow Automation","portfolio/john-carlo-red","skill/crm/gohighlevel",,"False"
"skill/crm/salesforce","Salesforce","portfolio/john-carlo-red","skill/crm",,"False"
"skill/crm/salesforce/ai-and-analytics","AI & Analytics","portfolio/john-carlo-red","skill/crm/salesforce",,"False"
"skill/crm/salesforce/ai-and-analytics/agentforce","Agentforce","portfolio/john-carlo-red","skill/crm/salesforce/ai-and-analytics",,"False"
"skill/crm/salesforce/ai-and-analytics/dashboard","Dashboard","portfolio/john-carlo-red","skill/crm/salesforce/ai-and-analytics",,"False"
"skill/crm/salesforce/ai-and-analytics/einstein-bot","Einstein Bot","portfolio/john-carlo-red","skill/crm/salesforce/ai-and-analytics",,"False"
"skill/crm/salesforce/ai-and-analytics/prompt-builder","Prompt Builder","portfolio/john-carlo-red","skill/crm/salesforce/ai-and-analytics",,"False"
"skill/crm/salesforce/ai-and-analytics/reports","Reports","portfolio/john-carlo-red","skill/crm/salesforce/ai-and-analytics",,"False"
"skill/crm/salesforce/automation-and-business-logic","Automation & Business Logic","portfolio/john-carlo-red","skill/crm/salesforce",,"False"
"skill/crm/salesforce/automation-and-business-logic/approval-process","Approval Process","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic","4","False"
"skill/crm/salesforce/automation-and-business-logic/assignment-rules","Assignment Rules","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic",,"False"
"skill/crm/salesforce/automation-and-business-logic/duplicate-rules","Duplicate Rules","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic",,"False"
"skill/crm/salesforce/automation-and-business-logic/escalation-rules","Escalation Rules","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic",,"False"
"skill/crm/salesforce/automation-and-business-logic/flows","Flows","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic","1","False"
"skill/crm/salesforce/automation-and-business-logic/matching-rules","Matching Rules","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic",,"False"
"skill/crm/salesforce/automation-and-business-logic/process-builder","Process Builder","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic","2","False"
"skill/crm/salesforce/automation-and-business-logic/validation-rules","Validation Rules","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic",,"False"
"skill/crm/salesforce/automation-and-business-logic/workflow","Workflow","portfolio/john-carlo-red","skill/crm/salesforce/automation-and-business-logic","3","False"
"skill/crm/salesforce/development","Development","portfolio/john-carlo-red","skill/crm/salesforce",,"False"
"skill/crm/salesforce/development/apex","Apex","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/asynchronous-apex","Asynchronous Apex","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/aura","Aura","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/lightning-web-component","Lightning Web Component","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/soql","SOQL","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/triggers","Triggers","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/development/visualforce","Visualforce","portfolio/john-carlo-red","skill/crm/salesforce/development",,"False"
"skill/crm/salesforce/integration-and-platforms","Integration & Platforms","portfolio/john-carlo-red","skill/crm/salesforce",,"False"
"skill/crm/salesforce/integration-and-platforms/experience-cloud","Experience Cloud","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms","3","False"
"skill/crm/salesforce/integration-and-platforms/field-service","Field Service","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms",,"False"
"skill/crm/salesforce/integration-and-platforms/platform-events","Platform Events","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms",,"False"
"skill/crm/salesforce/integration-and-platforms/rest-api","REST API","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms","1","False"
"skill/crm/salesforce/integration-and-platforms/sales-cloud","Sales Cloud","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms","2","False"
"skill/crm/salesforce/integration-and-platforms/service-cloud","Service Cloud","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms","2","False"
"skill/crm/salesforce/integration-and-platforms/soap-api","SOAP API","portfolio/john-carlo-red","skill/crm/salesforce/integration-and-platforms","1","False"
"skill/devops-and-deployment","DevOps & Deployment","portfolio/john-carlo-red",,"3","False"
"skill/devops-and-deployment/azure","Azure","portfolio/john-carlo-red","skill/devops-and-deployment",,"False"
"skill/devops-and-deployment/change-set","Change Set","portfolio/john-carlo-red","skill/devops-and-deployment",,"False"
"skill/devops-and-deployment/copado","Copado","portfolio/john-carlo-red","skill/devops-and-deployment",,"False"
"skill/devops-and-deployment/git","Git","portfolio/john-carlo-red","skill/devops-and-deployment","1","False"
"skill/devops-and-deployment/github","GitHub","portfolio/john-carlo-red","skill/devops-and-deployment","2","False"
"skill/devops-and-deployment/salesforce-cli-sfdx","Salesforce CLI (SFDX)","portfolio/john-carlo-red","skill/devops-and-deployment","3","False"
"skill/front-end","Front-End","portfolio/john-carlo-red",,"2","False"
"skill/front-end/bootstrap","Bootstrap","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/front-end/css","CSS","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/front-end/html","HTML","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/front-end/javascript","Javascript","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/front-end/react","React","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/front-end/react-native","React Native","portfolio/john-carlo-red","skill/front-end",,"False"
"skill/project-management-collaboration","Project Management / Collaboration","portfolio/john-carlo-red",,"4","False"
"skill/project-management-collaboration/agile-scrum-methodology","Agile / Scrum Methodology","portfolio/john-carlo-red","skill/project-management-collaboration",,"False"
"skill/project-management-collaboration/confluence","Confluence","portfolio/john-carlo-red","skill/project-management-collaboration",,"False"
"skill/project-management-collaboration/jira","Jira","portfolio/john-carlo-red","skill/project-management-collaboration",,"False"
"skill/project-management-collaboration/trello","Trello","portfolio/john-carlo-red","skill/project-management-collaboration",,"False"
"skill/tools","Tools","portfolio/john-carlo-red",,"5","False"
"skill/tools/microsoft-office","Microsoft Office","portfolio/john-carlo-red","skill/tools",,"False"
"skill/tools/postman","Postman","portfolio/john-carlo-red","skill/tools",,"False"
"skill/tools/visual-studio-code","Visual Studio Code","portfolio/john-carlo-red","skill/tools",,"False"
"skill/tools/workbench","Workbench","portfolio/john-carlo-red","skill/tools",,"False"
